t,x,y,z
1.404715,1.260826,0.224798,-0.223577
1.414354,1.145983,0.320093,-0.285885
1.423604,0.985936,0.364076,-0.32498
1.433004,0.817338,0.41661,-0.312763
1.442448,0.654848,0.493579,-0.252898
1.451873,0.469145,0.570548,-0.164934
1.461299,0.199142,0.585209,-0.072082
1.470745,-0.113621,0.583987,0.020769
1.480169,-0.41661,0.608422,0.078191
1.489578,-0.665843,0.662178,0.118508
1.499,-0.817338,0.715934,0.135612
1.508438,-0.857655,0.768468,0.103847
1.517889,-0.792903,0.82589,0.026878
1.527286,-0.620639,0.869872,-0.064752
1.536738,-0.394619,0.956615,-0.19059
1.546122,-0.299324,0.993267,-0.322537
1.555578,-0.349415,0.943176,-0.412945
1.565004,-0.442266,0.816116,-0.430049
1.574446,-0.525344,0.570548,-0.386067
1.583877,-0.577879,0.263894,-0.305433
1.593291,-0.631635,0.048869,-0.177151
1.602729,-0.680504,-0.004887,0.020769
1.612115,-0.667065,-0.046426,0.19792
1.621611,-0.6072,-0.149051,0.283441
1.63101,-0.535118,-0.232129,0.284663
1.640418,-0.505796,-0.241903,0.251676
1.649867,-0.544892,-0.238237,0.22602
1.659291,-0.605978,-0.29688,0.210138
1.668683,-0.686613,-0.337198,0.278555
1.678118,-0.690278,-0.31032,0.442266
1.687538,-0.57177,-0.326202,0.591318
1.696988,-0.309098,-0.386067,0.669508
1.706414,-0.046426,-0.398284,0.669508
1.716128,0.096517,-0.339641,0.6353
1.725279,0.128282,-0.342085,0.609644
1.734723,0.12706,-0.42394,0.610865
1.744151,0.157603,-0.568105,0.608422
1.753559,0.259007,-0.714712,0.57177
1.762999,0.443488,-0.836885,0.521679
1.77243,0.654848,-0.899194,0.511905
1.781873,0.808786,-0.872316,0.557109
1.791324,0.862542,-0.813673,0.619417
1.800722,0.789238,-0.702495,0.640187
1.810146,0.560774,-0.459371,0.609644
1.819567,0.239459,-0.213803,0.504575
1.828981,-0.0562,-0.040317,0.410501
1.838433,-0.232129,0.101404,0.332311
1.847848,-0.25412,0.206472,0.240681
1.85728,-0.212581,0.31032,0.114843
1.86668,-0.185703,0.422719,-0.080634
1.87644,-0.185703,0.572992,-0.293215
1.885554,-0.173486,0.731817,-0.466701
1.895019,-0.139277,0.836885,-0.587652
1.904406,-0.150273,0.922407,-0.640187
1.913842,-0.229685,0.89675,-0.640187
1.923293,-0.379958,0.774577,-0.552222
1.932686,-0.591318,0.577879,-0.364076
1.942114,-0.827112,0.316428,-0.156382
1.951563,-0.983493,0.053756,-0.002443
1.960979,-1.028697,-0.196699,0.029322
1.970423,-0.946841,-0.348193,-0.09163
1.979833,-0.764803,-0.382402,-0.288328
1.989228,-0.503353,-0.305433,-0.494801
1.998701,-0.245568,-0.078191,-0.692721
2.008107,-0.040317,0.244346,-0.819781
2.017751,0.09896,0.525344,-0.86132
2.026968,0.180816,0.696386,-0.835664
2.036406,0.18326,0.746477,-0.709825
2.045817,0.09896,0.620639,-0.492357
2.055288,-0.064752,0.305433,-0.173486
2.064691,-0.280998,-0.009774,0.160047
2.074105,-0.497244,-0.294437,0.37385
2.083541,-0.664621,-0.489914,0.469145
2.092955,-0.786794,-0.559553,0.48014
2.102394,-0.871094,-0.533896,0.42394
2.111812,-0.939511,-0.481362,0.321315
2.121245,-1.010371,-0.417832,0.157603
2.130695,-1.071458,-0.378736,-0.014661
2.140117,-1.089784,-0.401949,-0.172264
2.149524,-1.043358,-0.45204,-0.32498
2.158971,-0.911411,-0.481362,-0.450819
2.16837,-0.684169,-0.450819,-0.529009
2.177924,-0.417832,-0.357967,-0.592539
2.187241,-0.153938,-0.207694,-0.645074
2.196665,0.054978,-0.032987,-0.669508
2.2061,0.216246,0.129503,-0.645074
2.215526,0.356745,0.250455,-0.586431
2.224959,0.460592,0.295659,-0.491136
2.234377,0.511905,0.22602,-0.354302
2.243804,0.477697,0.019548,-0.145386
2.253232,0.38851,-0.332311,0.150273
2.262678,0.294437,-0.747699,0.430049
2.272094,0.228464,-1.153314,0.565661
2.281541,0.194255,-1.380556,0.518014
2.290986,0.160047,-1.328021,0.342085
2.300384,0.111177,-1.047023,0.136834
2.309839,0.048869,-0.624304,-0.072082
2.319389,0.003665,-0.164934,-0.259007
2.328656,0.024435,0.223577,-0.403171
2.33812,0.111177,0.494801,-0.48747
2.347507,0.224798,0.6353,-0.511905
2.356951,0.35308,0.623083,-0.474031
2.366393,0.520457,0.498466,-0.377515
2.375796,0.735482,0.323759,-0.295659
2.385219,0.977384,0.189368,-0.250455
2.394658,1.189966,0.156382,-0.270002
2.404082,1.302365,0.230907,-0.320093
2.413507,1.286482,0.401949,-0.316428
2.422935,1.123992,0.586431,-0.19059
2.432366,0.814894,0.667065,0.046426
2.441807,0.361632,0.697608,0.344528
2.451247,-0.212581,0.627969,0.657291
2.46064,-0.717156,0.40928,0.906524
2.470096,-1.045801,0.141721,1.001819
2.479629,-1.181413,-0.089186,0.855211
2.488923,-1.160644,-0.193033,0.516792
2.498375,-1.039693,-0.217468,0.122173
2.507841,-0.860098,-0.185703,-0.222355
2.517212,-0.669508,-0.12706,-0.464258
2.526633,-0.503353,0.002443,-0.592539
2.536062,-0.359189,0.173486,-0.645074
2.545533,-0.235794,0.359189,-0.613309
2.554918,-0.147829,0.470366,-0.481362
2.564352,-0.048869,0.485027,-0.219911
2.573773,0.141721,0.404393,0.061087
2.583227,0.469145,0.267559,0.223577
2.592606,0.824668,0.117286,0.240681
2.60206,1.064127,0.006109,0.178373
2.611484,1.104444,-0.065973,0.089186
2.62125,0.968832,-0.029322,-0.006109
2.630347,0.722043,0.074526,-0.118508
2.639752,0.426384,0.16249,-0.171042
2.649213,0.103847,0.228464,-0.09896
2.658642,-0.182038,0.240681,0.0562
2.668053,-0.348193,0.160047,0.243124
2.677512,-0.397062,0.032987,0.406836
2.686915,-0.343306,-0.075747,0.504575
2.696353,-0.235794,-0.153938,0.503353
2.705776,-0.108734,-0.199142,0.411723
2.715199,-0.025656,-0.206472,0.299324
2.724649,-0.002443,-0.171042,0.193033
2.734046,0.001222,-0.097738,0.123395
2.743495,0.001222,-0.039095,0.100182
2.752904,0.008552,-0.036652,0.129503
2.762604,0.018326,-0.101404,0.169821
2.771794,0.019548,-0.230907,0.158825
2.781199,0.018326,-0.322537,0.073304
2.790626,-0.025656,-0.34575,-0.053756
2.800059,-0.123395,-0.316428,-0.19059
2.809489,-0.279776,-0.260229,-0.290772
2.818923,-0.481362,-0.243124,-0.288328
2.828334,-0.646295,-0.329867,-0.140499
2.837779,-0.759916,-0.447153,0.128282
2.847224,-0.79779,-0.540005,0.425162
2.856638,-0.722043,-0.602313,0.704939
2.866038,-0.542448,-0.647517,0.880868
2.87548,-0.313985,-0.750143,0.893085
2.884909,-0.101404,-0.955393,0.823446
2.894478,0.090408,-1.076345,0.64263
2.903766,0.280998,-1.037249,0.294437
2.913205,0.47281,-0.795347,-0.147829
2.922848,0.626748,-0.420275,-0.575435
2.932053,0.748921,0.0562,-0.943176
2.941478,0.813673,0.625526,-1.1582
2.950908,0.814894,1.127657,-1.14354
2.960325,0.735482,1.407434,-0.919963
2.969754,0.537561,1.437977,-0.559553
2.979186,0.224798,1.23517,-0.111177
2.988638,-0.141721,0.83322,0.326202
2.998064,-0.492357,0.377515,0.615752
3.007463,-0.822225,-0.008552,0.690278
3.01691,-1.110553,-0.291994,0.602313
3.026344,-1.328021,-0.436158,0.432493
3.035773,-1.437977,-0.411723,0.213803
3.045213,-1.413542,-0.265116,-0.040317
3.0546,-1.254717,-0.065973,-0.256563
3.064329,-0.921185,0.193033,-0.38851
3.07347,-0.408058,0.48747,-0.428827
3.082901,0.266337,0.704939,-0.399506
3.092317,0.982271,0.801455,-0.321315
3.101732,1.551598,0.799012,-0.259007
3.111261,1.874135,0.788016,-0.22602
3.120628,1.982869,0.737925,-0.230907
3.130017,1.92056,0.612087,-0.270002
3.13946,1.677436,0.504575,-0.299324
3.148926,1.273043,0.368963,-0.300546
3.15833,0.763582,0.19059,-0.25412
3.167736,0.252898,0.079412,-0.175929
3.177143,-0.139277,-0.006109,-0.160047
3.186594,-0.351858,-0.073304,-0.201586
3.196006,-0.45204,-0.040317,-0.252898
3.205477,-0.48747,0.042761,-0.322537
3.214888,-0.504575,0.0562,-0.395841
3.224602,-0.537561,0.023213,-0.398284
3.233728,-0.587652,-0.024435,-0.343306
3.243159,-0.629191,-0.085521,-0.240681
3.252654,-0.631635,-0.139277,-0.150273
3.262012,-0.592539,-0.237016,-0.118508
3.271443,-0.486249,-0.349415,-0.149051
3.28087,-0.309098,-0.447153,-0.262672
3.290278,-0.057421,-0.481362,-0.442266
3.299719,0.219911,-0.412945,-0.654848
3.309154,0.445932,-0.25412,-0.814894
3.318566,0.583987,-0.078191,-0.85399
3.32804,0.651182,0.010996,-0.76969
3.337448,0.673173,0.019548,-0.577879
3.346866,0.6634,-0.054978,-0.298102
3.3563,0.638965,-0.193033,0.018326
3.365873,0.582765,-0.337198,0.300546
3.375179,0.488692,-0.454484,0.492357
3.384623,0.362854,-0.525344,0.559553
3.394031,0.212581,-0.554666,0.520457
3.403455,0.059865,-0.544892,0.389732
3.412857,-0.089186,-0.502131,0.224798
3.422283,-0.184481,-0.40928,0.06353
3.43175,-0.19792,-0.285885,-0.043982
3.441171,-0.112399,-0.163712,-0.074526
3.450573,0.075747,-0.039095,-0.057421
3.459992,0.357967,0.058643,-0.00733
3.469434,0.686613,0.167377,0.083078
3.478858,0.965167,0.251676,0.177151
3.488283,1.175305,0.31765,0.276111
3.497711,1.299921,0.356745,0.36041
3.507157,1.301143,0.377515,0.38118
3.516567,1.093449,0.36041,0.38851
3.526565,0.681726,0.293215,0.467923
3.535404,0.124617,0.125838,0.621861
3.544854,-0.430049,-0.073304,0.786794
3.554294,-0.795347,-0.276111,0.877202
3.5637,-0.939511,-0.464258,0.850324
3.573144,-0.915076,-0.538783,0.665843
3.582557,-0.785573,-0.463036,0.379958
3.592,-0.5791,-0.28222,0.0562
3.601413,-0.340863,-0.042761,-0.24679
3.610852,-0.101404,0.206472,-0.450819
3.620277,0.118508,0.415388,-0.57177
3.629718,0.295659,0.592539,-0.64263
3.639138,0.433714,0.715934,-0.649961
3.648569,0.530231,0.730595,-0.527788
3.658007,0.592539,0.605978,-0.295659
3.667686,0.613309,0.410501,-0.030543
3.676818,0.590096,0.184481,0.177151
3.686276,0.503353,0.029322,0.313985
3.695734,0.349415,-0.039095,0.367741
3.705166,0.147829,-0.039095,0.329867
3.714559,-0.09163,0.021991,0.25412
3.723973,-0.313985,0.079412,0.172264
3.733395,-0.466701,0.129503,0.145386
3.74284,-0.513127,0.15516,0.172264
3.752248,-0.467923,0.116064,0.21869
3.761664,-0.361632,0.047647,0.266337
3.771113,-0.22602,-0.018326,0.262672
3.780531,-0.096517,-0.057421,0.215025
3.789994,0.004887,-0.081856,0.173486
3.799401,0.079412,-0.102625,0.12706
3.808803,0.150273,-0.090408,0.089186
3.818239,0.180816,-0.076969,0.075747
3.827969,0.174707,-0.089186,0.101404
3.837119,0.122173,-0.102625,0.130725
3.846526,0.037874,-0.100182,0.105069
3.855977,-0.07086,-0.09163,0.096517
3.8654,-0.164934,-0.116064,0.100182
3.874834,-0.19792,-0.18326,0.114843
3.884245,-0.16249,-0.28955,0.149051
3.893689,-0.106291,-0.390954,0.178373
3.9031,-0.084299,-0.449597,0.163712
3.912594,-0.124617,-0.37385,0.133169
3.921972,-0.223577,-0.222355,0.124617
3.931403,-0.366519,-0.046426,0.193033
3.940805,-0.449597,0.052534,0.366519
3.95024,-0.401949,-0.002443,0.574213
3.959674,-0.193033,-0.174707,0.736703
3.969338,0.096517,-0.32498,0.759916
3.978539,0.349415,-0.415388,0.610865
3.98796,0.450819,-0.415388,0.346971
3.997422,0.367741,-0.350637,0.078191
4.006813,0.186925,-0.28955,-0.210138
4.016246,-0.008552,-0.117286,-0.50091
4.025704,-0.178373,0.157603,-0.746477
4.035115,-0.263894,0.443488,-0.875981
4.044536,-0.277333,0.67806,-0.810007
4.053974,-0.208916,0.746477,-0.551001
4.063393,-0.094073,0.572992,-0.15516
4.072817,-0.008552,0.304211,0.244346
4.082236,-0.0281,0.059865,0.555887
4.091693,-0.195477,-0.124617,0.695165
4.10111,-0.499688,-0.185703,0.648739
4.110533,-0.863763,-0.140499,0.463036
4.119953,-1.1863,-0.081856,0.245568
4.129595,-1.393995,-0.041539,0.045204
4.13883,-1.455081,0.002443,-0.133169
4.148239,-1.361008,0.032987,-0.290772
4.157665,-1.089784,0.043982,-0.379958
4.167083,-0.680504,0.036652,-0.364076
4.176583,-0.153938,0.029322,-0.279776
4.186001,0.438601,0.083078,-0.142942
4.195372,0.961502,0.125838,-0.047647
4.204812,1.332908,0.185703,-0.018326
4.214256,1.543046,0.238237,-0.074526
4.223674,1.609019,0.295659,-0.21869
4.233095,1.534493,0.356745,-0.38851
4.242524,1.318247,0.35308,-0.549779
4.251958,1.004262,0.295659,-0.676839
4.261371,0.576657,0.171042,-0.757473
4.270789,0.062308,0.047647,-0.778242
4.280237,-0.428827,-0.020769,-0.76236
4.289961,-0.773355,-0.081856,-0.753808
4.299076,-0.92485,-0.102625,-0.750143
4.308519,-0.93218,-0.087965,-0.730595
4.317991,-0.847881,-0.086743,-0.676839
4.327344,-0.73426,-0.087965,-0.603535
4.336791,-0.621861,-0.090408,-0.530231
